game_id,tag
319630,Walking Simulator
319630,Casual
319630,Action
319630,Memes
319630,Masterpiece
8930,Turn-Based Strategy
8930,Strategy
8930,Turn-Based
8930,Multiplayer
8930,Historical
8930,4X
8930,Addictive
8930,Singleplayer
8930,Hex Grid
8930,Grand Strategy
8930,Replay Value
8930,Co-op
8930,Tactical
8930,Economy
8930,Diplomacy
8930,Moddable
8930,Masterpiece
8930,Simulation
8930,Classic
8930,Great Soundtrack
107410,Military
107410,Simulation
107410,Multiplayer
107410,Realistic
107410,Open World
107410,Tactical
107410,FPS
107410,War
107410,Action
107410,Strategy
107410,Sandbox
107410,Shooter
107410,Co-op
107410,Moddable
107410,Online Co-Op
107410,Team-Based
107410,Third-Person Shooter
107410,Singleplayer
107410,First-Person
107410,TrackIR
10,Action
10,FPS
10,Multiplayer
10,Shooter
10,Classic
10,Team-Based
10,First-Person
10,Competitive
10,Tactical
10,1990's
10,eSports
10,PvP
10,Old School
10,Military
10,Strategy
10,Masterpiece
10,Survival
10,Score Attack
10,1980s
10,Assassin
48700,Medieval
48700,RPG
48700,Open World
48700,Strategy
48700,Sandbox
48700,Action
48700,Multiplayer
48700,Moddable
48700,Military
48700,Adventure
48700,Horses
48700,Singleplayer
48700,Realistic
48700,First-Person
48700,Historical
48700,Third Person
48700,Simulation
48700,Hack and Slash
48700,Fantasy
48700,Indie
222880,FPS
222880,Realistic
222880,Tactical
222880,Multiplayer
222880,Shooter
222880,Action
222880,Military
222880,Team-Based
222880,Co-op
222880,First-Person
222880,Strategy
222880,War
222880,Online Co-Op
222880,Competitive
222880,Indie
222880,Simulation
222880,PvP
222880,Singleplayer
222880,Atmospheric
222880,Adventure
239140,Zombies
239140,Survival
239140,Open World
239140,Parkour
239140,Co-op
239140,Multiplayer
239140,Action
239140,First-Person
239140,Horror
239140,Gore
239140,Survival Horror
239140,Crafting
239140,FPS
239140,Adventure
239140,Atmospheric
239140,Singleplayer
239140,Shooter
239140,RPG
239140,Stealth
239140,Sandbox
251570,Early Access
251570,Survival
251570,Zombies
251570,Open World
251570,Crafting
251570,Multiplayer
251570,Sandbox
251570,Building
251570,Co-op
251570,Survival Horror
251570,Adventure
251570,Action
251570,Early Access
251570,Online Co-Op
251570,Horror
251570,FPS
251570,Singleplayer
251570,RPG
251570,Indie
251570,Gore
295110,Zombies
295110,Survival
295110,Open World
295110,Multiplayer
295110,Massively Multiplayer
295110,Crafting
295110,Post-apocalyptic
295110,Action
295110,Survival Horror
295110,Co-op
295110,Shooter
295110,Adventure
295110,Sandbox
295110,Exploration
295110,FPS
295110,Walking Simulator
295110,Horror
295110,Early Access
295110,Simulation
295110,RPG
250900,Roguelike
250900,Indie
250900,Replay Value
250900,Difficult
250900,Pixel Graphics
250900,Dungeon Crawler
250900,Great Soundtrack
250900,Singleplayer
250900,Dark
250900,Remake
250900,2D
250900,Local Co-Op
250900,Gore
250900,Procedural Generation
250900,Roguelite
250900,Atmospheric
250900,Action
250900,Horror
250900,Twin Stick Shooter
250900,Co-op
8870,FPS
8870,Story Rich
8870,Action
8870,Singleplayer
8870,Steampunk
8870,Atmospheric
8870,Masterpiece
8870,Shooter
8870,First-Person
8870,Alternate History
8870,Beautiful
8870,Adventure
8870,Great Soundtrack
8870,Dystopian 
8870,Sci-fi
8870,Time Travel
8870,Fantasy
8870,Gore
8870,Linear
8870,RPG
22380,Open World
22380,RPG
22380,Post-apocalyptic
22380,Singleplayer
22380,Moddable
22380,Exploration
22380,First-Person
22380,Action
22380,Story Rich
22380,Adventure
22380,Sci-fi
22380,FPS
22380,Atmospheric
22380,Western
22380,Action RPG
22380,Survival
22380,Sandbox
22380,Character Customization
22380,Masterpiece
22380,Shooter
255710,City Builder
255710,Simulation
255710,Building
255710,Management
255710,Strategy
255710,Sandbox
255710,Singleplayer
255710,Moddable
255710,Economy
255710,Resource Management
255710,Realistic
255710,Mod
255710,Replay Value
255710,Casual
255710,Family Friendly
255710,Modern
255710,Real-Time with Pause
255710,Great Soundtrack
255710,Funny
255710,Action
322170,Difficult
322170,Great Soundtrack
322170,Music
322170,Level Editor
322170,2D
322170,Rhythm
322170,Colorful
322170,Singleplayer
322170,Platformer
322170,Character Customization
322170,Arcade
322170,Indie
322170,Side Scroller
322170,Funny
322170,Action
322170,Family Friendly
322170,Casual
322170,Strategy
322170,Adventure
322170,Multiplayer
211820,Sandbox
211820,Survival
211820,Adventure
211820,Space
211820,Crafting
211820,Indie
211820,Multiplayer
211820,Pixel Graphics
211820,2D
211820,Building
211820,RPG
211820,Exploration
211820,Open World
211820,Action
211820,Co-op
211820,Sci-fi
211820,Platformer
211820,Singleplayer
211820,Great Soundtrack
211820,Atmospheric
203160,Adventure
203160,Action
203160,Female Protagonist
203160,Third Person
203160,Lara Croft
203160,Singleplayer
203160,Third-Person Shooter
203160,Story Rich
203160,Exploration
203160,Multiplayer
203160,Quick-Time Events
203160,Atmospheric
203160,Action-Adventure
203160,Shooter
203160,Stealth
203160,Puzzle
203160,Cinematic
203160,Platformer
203160,Masterpiece
203160,RPG
244850,Space
244850,Sandbox
244850,Building
244850,Multiplayer
244850,Simulation
244850,Survival
244850,Open World
244850,Physics
244850,Crafting
244850,Destruction
244850,Co-op
244850,Indie
244850,Futuristic
244850,Sci-fi
244850,Singleplayer
244850,Action
244850,Strategy
244850,Early Access
244850,Adventure
244850,Atmospheric
219740,Survival
219740,Crafting
219740,Indie
219740,Adventure
219740,Sandbox
219740,Singleplayer
219740,Perma Death
219740,Open World
219740,Exploration
219740,Roguelike
219740,Multiplayer
219740,Replay Value
219740,Moddable
219740,Difficult
219740,Simulation
219740,2D
219740,Top-Down
219740,Survival Horror
219740,Horror
219740,Action
435150,RPG
435150,Story Rich
435150,Turn-Based
435150,Co-op
435150,Fantasy
435150,Character Customization
435150,Adventure
435150,Open World
435150,Strategy
435150,Turn-Based Combat
435150,Multiplayer
435150,Singleplayer
435150,CRPG
435150,Great Soundtrack
435150,Turn-Based Tactics
435150,Party-Based RPG
435150,Atmospheric
435150,Isometric
435150,Indie
435150,Female Protagonist
240,Shooter
240,Action
240,FPS
240,Multiplayer
240,Team-Based
240,First-Person
240,Tactical
240,Competitive
240,PvP
240,eSports
240,Military
240,War
240,Strategy
240,Moddable
240,Difficult
240,Singleplayer
240,Atmospheric
240,Survival
240,Simulation
240,Sandbox
365590,Open World
365590,Multiplayer
365590,Third-Person Shooter
365590,Action
365590,Shooter
365590,Co-op
365590,RPG
365590,Online Co-Op
365590,Post-apocalyptic
365590,Survival
365590,Massively Multiplayer
365590,Tactical
365590,Third Person
365590,MMORPG
365590,Singleplayer
365590,Adventure
365590,Atmospheric
365590,FPS
365590,Stealth
365590,Sandbox
379720,FPS
379720,Gore
379720,Action
379720,Shooter
379720,Demons
379720,First-Person
379720,Great Soundtrack
379720,Multiplayer
379720,Singleplayer
379720,Fast-Paced
379720,Sci-fi
379720,Horror
379720,Classic
379720,Atmospheric
379720,Difficult
379720,Blood
379720,Remake
379720,Zombies
379720,Co-op
379720,Masterpiece
367520,Metroidvania
367520,Great Soundtrack
367520,Difficult
367520,Platformer
367520,2D
367520,Atmospheric
367520,Indie
367520,Exploration
367520,Singleplayer
367520,Adventure
367520,Story Rich
367520,Hand-drawn
367520,Dark Fantasy
367520,Action
367520,Open World
367520,Multiple Endings
367520,Cute
367520,Souls-like
367520,Controller
367520,Side Scroller
232090,Zombies
232090,Co-op
232090,Gore
232090,FPS
232090,Survival
232090,Multiplayer
232090,Action
232090,Online Co-Op
232090,Horror
232090,Shooter
232090,First-Person
232090,Team-Based
232090,Survival Horror
232090,Great Soundtrack
232090,Atmospheric
232090,Difficult
232090,Masterpiece
232090,Singleplayer
232090,Early Access
232090,Indie
305620,Survival
305620,Open World
305620,Exploration
305620,Atmospheric
305620,First-Person
305620,Singleplayer
305620,Adventure
305620,Crafting
305620,Sandbox
305620,Simulation
305620,Post-apocalyptic
305620,Indie
305620,Walking Simulator
305620,Survival Horror
305620,Strategy
305620,Early Access
305620,Action
305620,Difficult
305620,Horror
305620,Female Protagonist
220,FPS
220,Action
220,Sci-fi
220,Classic
220,Singleplayer
220,Masterpiece
220,Story Rich
220,Shooter
220,First-Person
220,Adventure
220,Dystopian 
220,Atmospheric
220,Zombies
220,Silent Protagonist
220,Physics
220,Aliens
220,Great Soundtrack
220,Puzzle
220,Multiplayer
220,Horror
211420,RPG
211420,Dark Fantasy
211420,Difficult
211420,Masterpiece
211420,Action
211420,Exploration
211420,Lore-Rich
211420,Fantasy
211420,Unforgiving
211420,Adventure
211420,Atmospheric
211420,Third Person
211420,Action RPG
211420,Addictive
211420,Open World
211420,Replay Value
211420,Dark
211420,Multiplayer
211420,Great Soundtrack
211420,Story Rich
262060,Turn-Based Combat
262060,Dark Fantasy
262060,Dungeon Crawler
262060,RPG
262060,Roguelike
262060,Lovecraftian
262060,Difficult
262060,Turn-Based
262060,Singleplayer
262060,Perma Death
262060,Atmospheric
262060,Strategy
262060,Dark
262060,Indie
262060,2D
262060,Roguelite
262060,Horror
262060,Gothic
262060,Fantasy
262060,Kickstarter
220200,Space
220200,Simulation
220200,Sandbox
220200,Physics
220200,Science
220200,Space Sim
220200,Building
220200,Moddable
220200,Indie
220200,Education
220200,Open World
220200,Singleplayer
220200,Exploration
220200,Funny
220200,Sci-fi
220200,Adventure
220200,Difficult
220200,Replay Value
220200,Strategy
220200,Comedy
220240,Open World
220240,FPS
220240,Action
220240,Adventure
220240,Shooter
220240,Stealth
220240,Multiplayer
220240,Hunting
220240,First-Person
220240,Singleplayer
220240,Co-op
220240,Sandbox
220240,Survival
220240,Story Rich
220240,Masterpiece
220240,Online Co-Op
220240,Atmospheric
220240,Colorful
220240,Crafting
220240,Nudity
12210,Open World
12210,Action
12210,Bowling
12210,Multiplayer
12210,Third Person
12210,Crime
12210,Adventure
12210,Third-Person Shooter
12210,Sandbox
12210,Singleplayer
12210,Moddable
12210,Shooter
12210,Physics
12210,Atmospheric
12210,Funny
12210,Classic
12210,Dark Humor
12210,Gore
12210,Co-op
12210,Satire
427520,Early Access
427520,Base Building
427520,Resource Management
427520,Sandbox
427520,Crafting
427520,Strategy
427520,Multiplayer
427520,Survival
427520,Open World
427520,Management
427520,Automation
427520,Co-op
427520,Moddable
427520,Early Access
427520,Trains
427520,Singleplayer
427520,Simulation
427520,Indie
427520,Sci-fi
427520,Aliens
282070,Survival
282070,War
282070,Atmospheric
282070,Singleplayer
282070,Strategy
282070,Choices Matter
282070,Simulation
282070,Crafting
282070,Indie
282070,Stealth
282070,Adventure
282070,Post-apocalyptic
282070,2D
282070,Side Scroller
282070,Difficult
282070,Point & Click
282070,Open World
282070,2.5D
282070,Roguelike
282070,Platformer
289070,Strategy
289070,Turn-Based Strategy
289070,Historical
289070,Multiplayer
289070,Singleplayer
289070,Turn-Based
289070,4X
289070,Grand Strategy
289070,Simulation
289070,War
289070,Tactical
289070,Great Soundtrack
289070,Moddable
289070,City Builder
289070,Online Co-Op
289070,Co-op
289070,Building
289070,Management
289070,Hex Grid
289070,Atmospheric
400,Puzzle
400,First-Person
400,Singleplayer
400,Sci-fi
400,Comedy
400,Female Protagonist
400,Funny
400,Physics
400,Action
400,Story Rich
400,Platformer
400,Classic
400,Science
400,FPS
400,Atmospheric
400,Masterpiece
400,Short
400,Adventure
400,Dark Humor
400,Great Soundtrack
394360,Strategy
394360,World War II
394360,Grand Strategy
394360,Historical
394360,War
394360,Military
394360,Alternate History
394360,Multiplayer
394360,Simulation
394360,Tactical
394360,Real-Time with Pause
394360,Singleplayer
394360,RTS
394360,Diplomacy
394360,Sandbox
394360,Co-op
394360,Great Soundtrack
394360,Open World
394360,Action
394360,Casual
306130,RPG
306130,MMORPG
306130,Open World
306130,Massively Multiplayer
306130,Multiplayer
306130,Fantasy
306130,Adventure
306130,First-Person
306130,Exploration
306130,Story Rich
306130,Third Person
306130,Action
306130,Magic
306130,Co-op
306130,Atmospheric
306130,Great Soundtrack
306130,Action RPG
306130,Singleplayer
306130,Masterpiece
306130,Sandbox
391220,Adventure
391220,Action
391220,Lara Croft
391220,Female Protagonist
391220,Third Person
391220,Singleplayer
391220,Exploration
391220,Action-Adventure
391220,Open World
391220,Survival
391220,Story Rich
391220,Puzzle
391220,Stealth
391220,Atmospheric
391220,Third-Person Shooter
391220,Parkour
391220,Shooter
391220,RPG
391220,Great Soundtrack
391220,Quick-Time Events
225540,Open World
225540,Action
225540,Destruction
225540,Third-Person Shooter
225540,Multiplayer
225540,Singleplayer
225540,Adventure
225540,Shooter
225540,Third Person
225540,Sandbox
225540,Exploration
225540,Physics
225540,Funny
225540,Atmospheric
225540,Comedy
225540,Parkour
225540,Co-op
225540,Great Soundtrack
225540,Moddable
225540,RPG
629760,Medieval
629760,Multiplayer
629760,Swordplay
629760,Gore
629760,PvP
629760,Violent
629760,Action
629760,First-Person
629760,Character Customization
629760,Hack and Slash
629760,Realistic
629760,Competitive
629760,Battle Royale
629760,Co-op
629760,Historical
629760,Third Person
629760,Indie
629760,FPS
629760,Survival
629760,Singleplayer
219640,Medieval
219640,Multiplayer
219640,Action
219640,Gore
219640,First-Person
219640,Swordplay
219640,Violent
219640,PvP
219640,Indie
219640,Third Person
219640,Competitive
219640,Team-Based
219640,Hack and Slash
219640,FPS
219640,Co-op
219640,Historical
219640,Class-Based
219640,Atmospheric
219640,Simulation
219640,Difficult
236850,Grand Strategy
236850,Strategy
236850,Historical
236850,Simulation
236850,Real-Time with Pause
236850,Multiplayer
236850,Military
236850,Sandbox
236850,Singleplayer
236850,Replay Value
236850,Diplomacy
236850,Political
236850,Education
236850,Moddable
236850,RTS
236850,Medieval
236850,Great Soundtrack
236850,Open World
236850,Co-op
236850,4X
206420,Open World
206420,Action
206420,Comedy
206420,Co-op
206420,Third-Person Shooter
206420,Superhero
206420,Sandbox
206420,Character Customization
206420,Funny
206420,Third Person
206420,Adventure
206420,Online Co-Op
206420,Aliens
206420,Parody 
206420,Multiplayer
206420,Great Soundtrack
206420,Singleplayer
206420,Sci-fi
206420,Dark Humor
206420,Female Protagonist
294100,Base Building
294100,Survival
294100,Strategy
294100,Sandbox
294100,Management
294100,Building
294100,Simulation
294100,Singleplayer
294100,Open World
294100,Sci-fi
294100,Crafting
294100,Moddable
294100,2D
294100,Indie
294100,Atmospheric
294100,Great Soundtrack
294100,Space
294100,Early Access
294100,Action
294100,Pixel Graphics
219150,Great Soundtrack
219150,Action
219150,Violent
219150,Indie
219150,Top-Down
219150,1980s
219150,Fast-Paced
219150,Pixel Graphics
219150,Gore
219150,Psychedelic
219150,Retro
219150,Difficult
219150,Singleplayer
219150,Surreal
219150,Shooter
219150,2D
219150,Atmospheric
219150,Addictive
219150,Music
219150,Top-Down Shooter
204360,Co-op
204360,Action
204360,Multiplayer
204360,Adventure
204360,Local Co-Op
204360,Funny
204360,Beat 'em up
204360,Online Co-Op
204360,Indie
204360,Comedy
204360,Hack and Slash
204360,2D
204360,RPG
204360,Local Multiplayer
204360,Casual
204360,Controller
204360,Great Soundtrack
204360,Fantasy
204360,Side Scroller
204360,Action RPG
281990,Space
281990,Strategy
281990,Grand Strategy
281990,Sci-fi
281990,4X
281990,Real-Time with Pause
281990,Exploration
281990,Multiplayer
281990,RTS
281990,Singleplayer
281990,Replay Value
281990,Great Soundtrack
281990,Simulation
281990,Moddable
281990,Sandbox
281990,Atmospheric
281990,Open World
281990,Story Rich
281990,Building
281990,Adventure
361420,Open World
361420,Survival
361420,Space
361420,Multiplayer
361420,Exploration
361420,Sandbox
361420,Base Building
361420,Co-op
361420,Adventure
361420,Building
361420,Crafting
361420,Sci-fi
361420,Early Access
361420,Third Person
361420,Atmospheric
361420,Singleplayer
361420,Colorful
361420,Indie
361420,Great Soundtrack
361420,Voxel
304390,Medieval
304390,Action
304390,Swordplay
304390,Multiplayer
304390,PvP
304390,Fighting
304390,Third Person
304390,War
304390,Co-op
304390,Gore
304390,Singleplayer
304390,Online Co-Op
304390,Hack and Slash
304390,Realistic
304390,Strategy
304390,Atmospheric
304390,RPG
304390,Fantasy
304390,MOBA
304390,Story Rich
268910,Difficult
268910,Cartoon
268910,Great Soundtrack
268910,Platformer
268910,Co-op
268910,Hand-drawn
268910,2D
268910,Local Co-Op
268910,Indie
268910,Retro
268910,Cartoony
268910,Action
268910,Multiplayer
268910,Bullet Hell
268910,Shoot 'Em Up
268910,Side Scroller
268910,Colorful
268910,Singleplayer
268910,Funny
268910,Atmospheric
265930,Simulation
265930,Funny
265930,Comedy
265930,Open World
265930,Sandbox
265930,Physics
265930,Indie
265930,Action
265930,Singleplayer
265930,Casual
265930,Destruction
265930,Third Person
265930,Co-op
265930,Exploration
265930,Moddable
265930,Local Multiplayer
265930,Local Co-Op
265930,Memes
265930,Family Friendly
265930,MMORPG
212680,Roguelike
212680,Space
212680,Strategy
212680,Sci-fi
212680,Indie
212680,Singleplayer
212680,Perma Death
212680,Difficult
212680,Replay Value
212680,Real-Time with Pause
212680,Great Soundtrack
212680,2D
212680,Simulation
212680,Roguelite
212680,Survival
212680,Adventure
212680,Pixel Graphics
212680,Masterpiece
212680,RPG
212680,Atmospheric
20920,RPG
20920,Fantasy
20920,Mature
20920,Story Rich
20920,Choices Matter
20920,Singleplayer
20920,Third Person
20920,Adventure
20920,Dark Fantasy
20920,Nudity
20920,Multiple Endings
20920,Action
20920,Masterpiece
20920,Open World
20920,Atmospheric
20920,Based On A Novel
20920,Difficult
20920,Medieval
20920,Dark
20920,Magic
238460,Comedy
238460,Co-op
238460,Funny
238460,Platformer
238460,Multiplayer
238460,Local Co-Op
238460,Adventure
238460,Indie
238460,2D
238460,Action
238460,Great Soundtrack
238460,Cats
238460,Online Co-Op
238460,Puzzle
238460,Casual
238460,Level Editor
238460,Local Multiplayer
238460,Masterpiece
238460,Singleplayer
238460,Difficult
383870,Adventure
383870,Atmospheric
